[dotenv@17.2.0] injecting env (0) from .env (tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] })
Backend running on http://localhost:3001
info: [object Object] {"timestamp":"2025-07-25T07:58:53.233Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:53.649Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:53.653Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:53.655Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:53.657Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:55.946Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:55.954Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:56.343Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:56.355Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:57.478Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:57.491Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:58.238Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:58.251Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:59.426Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:04.110Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:04.739Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:06.388Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:08.202Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:08.549Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:57.367Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:57.369Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:57.372Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:57.374Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:57.375Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:57.378Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:59.760Z"}
info: [object Object] {"timestamp":"2025-07-25T07:59:59.767Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:01.724Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:01.732Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:05.207Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:06.041Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:06.148Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:09.453Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:09.865Z"}
info: [object Object] {"timestamp":"2025-07-25T08:00:13.893Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:31.004Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:31.007Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:31.575Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:31.578Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:32.822Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:32.827Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:34.755Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:34.769Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:35.175Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:35.188Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:37.305Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:37.317Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:38.601Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:38.609Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:41.833Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:41.847Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:42.353Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:42.368Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:43.472Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:43.484Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:44.852Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:44.860Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:45.577Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:45.589Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:46.441Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:46.454Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:47.455Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:47.466Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:49.834Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:49.843Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:52.838Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:52.848Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:53.704Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:53.713Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:53.759Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:54.333Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:55.758Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:55.769Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:56.859Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:57.000Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:58.480Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:58.483Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:58.648Z"}
info: [object Object] {"timestamp":"2025-07-25T08:01:59.570Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:03.238Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:05.637Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:05.800Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:10.921Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:13.235Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:13.237Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:13.239Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:13.241Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:13.242Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:13.244Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:15.561Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:15.570Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:19.038Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:19.053Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:19.533Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:19.833Z"}
info: [object Object] {"timestamp":"2025-07-25T08:02:20.820Z"}
